"","CellArea","NumCells","RSS","RSquared","RMSE","GlobalS","GlobalSRobust"
"1",156657028.690748,4,34364,0.971507396217222,92.6876475049399,0,0
"2",156657028.690748,4,8340,0.999276114151504,45.6618002273235,0.25,0
"3",156657028.690748,4,33858,0.937343145315224,92.0027173511739,0,0
"4",156657028.690748,4,9764,0.998869391695505,49.4064773081425,0.25,0
"5",1294686.18752684,144,14312,0.773564100685108,9.96939761915879,0.430555555555556,0.254545454545455
"6",1294686.18752684,144,14400,0.783420516296527,10,0.506944444444444,0.354545454545455
"7",1294686.18752684,144,15024,0.782346883491127,10.2143689640297,0.506944444444444,0.310679611650485
"8",1294686.18752684,144,17906,0.750770206856699,11.1511085647223,0.479166666666667,0.264705882352941
"9",1294686.18752684,144,12324,0.809087032268892,9.25112605758528,0.479166666666667,0.311926605504587
"10",355231.357575391,484,10840,0.577202698491485,4.73251457629832,0.53099173553719,0.318318318318318
"11",355231.357575391,484,9896,0.593380030567344,4.52175640561669,0.512396694214876,0.293413173652695
"12",355231.357575391,484,9812,0.60771577108511,4.50252454437811,0.555785123966942,0.338461538461538
"13",355231.357575391,484,10294,0.595156470291773,4.61178870302211,0.526859504132231,0.310240963855422
"14",355231.357575391,484,10776,0.568499195477228,4.71852337176763,0.543388429752066,0.33030303030303
"15",163014.598013265,1024,9064,0.425433752476661,2.97515755885298,0.56640625,0.328290468986384
"16",163014.598013265,1024,8476,0.46003274984062,2.87703732162098,0.5966796875,0.366564417177914
"17",163014.598013265,1024,9460,0.419319676708189,3.03945410394696,0.5791015625,0.352852852852853
"18",163014.598013265,1024,9066,0.426005405130716,2.97548577966691,0.544921875,0.289634146341463
"19",163014.598013265,1024,9164,0.419363800767269,2.99152448594358,0.5556640625,0.30640243902439
"20",93192.7594828956,1764,8312,0.314303610541313,2.17071834667457,0.594671201814059,0.332399626517274
"21",93192.7594828956,1764,8612,0.305854646079719,2.20954433488003,0.603741496598639,0.344277673545966
"22",93192.7594828956,1764,7996,0.326244781129245,2.12905608629602,0.603174603174603,0.335863377609108
"23",93192.7594828956,1764,8036,0.334025399623007,2.13437474581095,0.604308390022676,0.33713200379867
"24",93192.7594828956,1764,8160,0.324606648505504,2.15077900774023,0.587301587301587,0.317073170731707
"25",60229.53813562,2704,7762,0.242953628086174,1.69427333396283,0.639792899408284,0.355393778954335
"26",60229.53813562,2704,7702,0.251106891683618,1.6877122921473,0.635724852071006,0.348975545274289
"27",60229.53813562,2704,7934,0.240505229126953,1.71294238012641,0.638683431952663,0.351261620185923
"28",60229.53813562,2704,7370,0.263282550714979,1.65093661779498,0.642381656804734,0.359602649006623
"29",60229.53813562,2704,8014,0.224111901999222,1.72155667825654,0.629068047337278,0.33532140490391
"30",42100.7870708808,3844,7678,0.179481092902843,1.41329350921321,0.678720083246618,0.368932038834951
"31",42100.7870708808,3844,7420,0.200910484785821,1.3893455140231,0.67741935483871,0.359173126614987
"32",42100.7870708808,3844,7686,0.182131722358017,1.4140295996325,0.679500520291363,0.359001040582726
"33",42100.7870708808,3844,7233,0.208217061939372,1.37172654522698,0.675338189386056,0.361963190184049
"34",42100.7870708808,3844,7562,0.187014000949797,1.40257678724578,0.684963579604579,0.378017462763225
"35",31076.577800188,5184,7686,0.140453434697822,1.21763659968354,0.721064814814815,0.388066017774016
"36",31076.577800188,5184,7280,0.161012593438395,1.18504050042786,0.733410493827161,0.408896492728828
"37",31076.577800188,5184,7241,0.163577253096104,1.18186202219471,0.729359567901235,0.404499151103565
"38",31076.577800188,5184,7516,0.149313491465706,1.20409537787185,0.728395061728395,0.402376910016978
"39",31076.577800188,5184,7408,0.159872781694523,1.19541304396389,0.729359567901235,0.399400684931507
